TCK	SDE	TRT	SYM	MKT	PRC	DTP	SIZ	VAL	BRK	MBR	ACC	ACT	GRP	ORD	UID	BNK	BKA	STD	DIN	FST	CLT	GRS	FAL	ALD	EXT	STY	REF	STS	SSL	OTK	CLC	LQI	IAC	ORF	TAC	TDV	ETK	TTY	CYL	OSQ	NEG	ALG
16844522	1	2018-11-07 12:11:30.235	SIF5	REGS	2.150000	2.150000	100	215.000000	K8	K8	4848008	1	0	39544879	UK8GW3			20181109	0	0	0	0	0	0	0	SHARE		1	0	0	RON	1	1031082		4848008	XBSE		REG	0	248031981	A	N
16844544	1	2018-11-07 12:23:30.73	ALU	REGS	0.735000	0.735000	630	463.050000	K8	K8	4848008	1	0	39544677	UK8GW3			20181109	0	0	0	0	0	0	0	SHARE		1	0	0	RON	2	1032654		4848008	XBSE		REG	0	248038221	A	N
16844554	1	2018-11-07 12:28:44.092	DIGI	REGS	29.900000	29.900000	15	448.500000	K8	K8	4848008	1	0	39545002	UK8GW3			20181109	0	0	0	0	0	0	0	SHARE		1	0	0	RON	1	1032062		4848008	XBSE		REG	0	248041459	A	N
16844559	2	2018-11-07 12:30:00.11	SNC	XRS1	1.440000	1.440000	30	43.200000	K8	K8	4848008	1	0	38221885	UK8GW3			20181109	0	0	0	0	0	0	0	SHARE	in tal fixing	1	0	0	RON	4	1012931		4848008	XBSE		REG	0	248042053	A	N
16844561	2	2018-11-07 12:30:00.135	ALB	XRS1	0.348000	0.348000	13	4.524000	K8	K8	4848008	1	0	35076410	UK8GW3			20181109	0	0	0	0	0	0	0	SHARE-ATS	in tal fixing	1	0	0	RON	4	1012931		4848008	XBSE		REG	0	248042061	A	N
16844585	1	2018-11-07 12:33:12.187	INOX	XRS1	0.400000	0.400000	120	48.000000	K8	K8	4848008	1	0	39545041	UK8GW3			20181109	0	0	0	0	0	0	0	SHARE	in tal	1	0	0	RON	1	1012931		4848008	XBSE		REG	0	248043485	A	N
16844661	2	2018-11-07 12:52:51.392	CEON	REGS	0.354000	0.354000	100	35.400000	K8	K8	4848008	1	0	39331111	UK8GW3			20181109	0	0	0	0	0	0	0	SHARE		1	0	0	RON	1	1031605		4848008	XBSE		REG	0	248053607	A	N
16844698	1	2018-11-07 12:59:15.633	INOX	XRS1	0.400000	0.400000	110	44.000000	K8	K8	4848008	1	0	39547256	UK8GW3			20181109	0	0	0	0	0	0	0	SHARE	in tal	1	0	0	RON	1	1031605		4848008	XBSE		REG	0	248057325	A	N
16844701	2	2018-11-07 13:01:20.245	CEON	REGS	0.354000	0.354000	1000	354.000000	K8	K8	4848008	1	0	39331111	UK8GW3			20181109	0	0	0	0	0	0	0	SHARE		1	0	0	RON	1	1031605		4848008	XBSE		REG	0	248058941	A	N
16844705	2	2018-11-07 13:03:01.446	CEON	REGS	0.354000	0.354000	1750	619.500000	K8	K8	4848008	1	0	39331111	UK8GW3			20181109	0	0	0	0	0	0	0	SHARE		1	0	0	RON	1	1031605		4848008	XBSE		REG	0	248059933	A	N
16844720	1	2018-11-07 13:08:20.652	SIF1	REGS	2.500000	2.500000	6	15.000000	K8	K8	4848008	1	0	39548375	UK8GW3			20181109	0	0	0	0	0	0	0	SHARE		1	0	0	RON	1	1031082		4848008	XBSE		REG	0	248062827	A	N
16844721	1	2018-11-07 13:08:20.654	SIF1	REGS	2.500000	2.500000	6	15.000000	K8	K8	4848008	1	0	39548375	UK8GW3			20181109	0	0	0	0	0	0	0	SHARE		1	0	0	RON	1	1031082		4848008	XBSE		REG	0	248062829	A	N
16844722	1	2018-11-07 13:08:20.655	SIF1	REGS	2.500000	2.500000	6	15.000000	K8	K8	4848008	1	0	39548375	UK8GW3			20181109	0	0	0	0	0	0	0	SHARE		1	0	0	RON	1	1031082		4848008	XBSE		REG	0	248062831	A	N
16844723	1	2018-11-07 13:08:20.656	SIF1	REGS	2.500000	2.500000	6	15.000000	K8	K8	4848008	1	0	39548375	UK8GW3			20181109	0	0	0	0	0	0	0	SHARE		1	0	0	RON	1	1031082		4848008	XBSE		REG	0	248062833	A	N
16844724	1	2018-11-07 13:08:20.658	SIF1	REGS	2.500000	2.500000	76	190.000000	K8	K8	4848008	1	0	39548375	UK8GW3			20181109	0	0	0	0	0	0	0	SHARE		1	0	0	RON	1	1031082		4848008	XBSE		REG	0	248062835	A	N
16844741	1	2018-11-07 13:11:26.035	SIF5	REGS	2.130000	2.130000	709	1510.170000	K8	K8	4848008	1	0	39548790	UK8GW3			20181109	0	0	0	0	0	0	0	SHARE		1	0	0	RON	1	1031082		4848008	XBSE		REG	0	248064333	A	N
16844742	1	2018-11-07 13:11:26.038	SIF5	REGS	2.140000	2.140000	91	194.740000	K8	K8	4848008	1	0	39548790	UK8GW3			20181109	0	0	0	0	0	0	0	SHARE		1	0	0	RON	1	1031082		4848008	XBSE		REG	0	248064335	A	N
16844755	1	2018-11-07 13:16:50.726	SIF5	REGS	2.140000	2.140000	100	214.000000	K8	K8	4848008	1	0	39549471	UK8GW3			20181109	0	0	0	0	0	0	0	SHARE		1	0	0	RON	1	1031082		4848008	XBSE		REG	0	248067521	A	N
16844798	1	2018-11-07 13:39:15.917	ALU	REGS	0.740000	0.740000	800	592.000000	K8	K8	4848008	1	0	39551844	UK8GW3			20181109	0	0	0	0	0	0	0	SHARE		1	0	0	RON	1	1032415		4848008	XBSE		REG	0	248079215	A	N
16844799	1	2018-11-07 13:39:15.92	ALU	REGS	0.745000	0.745000	200	149.000000	K8	K8	4848008	1	0	39551844	UK8GW3			20181109	0	0	0	0	0	0	0	SHARE		1	0	0	RON	1	1032415		4848008	XBSE		REG	0	248079217	A	N
16844834	2	2018-11-07 13:48:37.474	SNG	REGS	34.500000	34.500000	454	15663.000000	K8	K8	4848008	1	0	39551915	UK8GW3			20181109	0	0	0	0	0	0	0	SHARE		1	0	0	RON	1	1030847		4848008	XBSE		REG	0	248083044	A	N
16844844	2	2018-11-07 13:55:42.926	EFO	REGS	0.070000	0.070000	443	31.010000	K8	K8	4848008	1	0	39331730	UK8GW3			20181109	0	0	0	0	0	0	0	SHARE		1	0	0	RON	1	1028134		4848008	XBSE		REG	0	248085895	A	N
16844888	2	2018-11-07 14:11:34.186	BRD	REGS	13.520000	13.520000	300	4056.000000	K8	K8	4848008	1	0	38507750	UK8GW3			20181109	0	0	0	0	0	0	0	SHARE		1	0	0	RON	1	1032638		4848008	XBSE		REG	0	248092849	A	N
16844902	1	2018-11-07 14:15:14.449	SIF5	REGS	2.130000	2.130000	10	21.300000	K8	K8	4848008	1	0	39552110	UK8GW3			20181109	0	0	0	0	0	0	0	SHARE		1	0	0	RON	1	1031082		4848008	XBSE		REG	0	248094321	A	N
